TYPE,TIME,X,Y,THETA,VX,VY,VA
SIM, 5.828344,1.996933,1.994387,0.542377,-0.000601,0.000597,0.194494
SIM, 5.858385,1.996905,1.994390,0.548227,-0.000596,0.000590,0.195491
SIM, 5.888426,1.996874,1.994410,0.554106,-0.000603,0.000603,0.196488
SIM, 5.918467,1.996838,1.994445,0.560016,-0.000601,0.000597,0.197485
SIM, 5.948507,1.996810,1.994448,0.565956,-0.000595,0.000591,0.198481
SIM, 5.978548,1.996778,1.994470,0.571925,-0.000603,0.000604,0.199473
SIM, 6.008589,1.996743,1.994506,0.577924,-0.000601,0.000597,0.200466
SIM, 6.038630,1.996710,1.994510,0.583953,-0.000596,0.000591,0.201458
SIM, 6.068670,1.996683,1.994533,0.590011,-0.000603,0.000604,0.202451
SIM, 6.098711,1.996647,1.994569,0.596099,-0.000602,0.000599,0.203443
SIM, 6.128752,1.996612,1.994576,0.602218,-0.000596,0.000591,0.204435
SIM, 6.158792,1.996587,1.994597,0.608365,-0.000601,0.000605,0.205423
SIM, 6.188833,1.996551,1.994633,0.614543,-0.000600,0.000601,0.206411
SIM, 6.218874,1.996527,1.994646,0.620750,-0.000596,0.000591,0.207398
SIM, 6.248915,1.996491,1.994665,0.626986,-0.000605,0.000603,0.208386
SIM, 6.278955,1.996455,1.994701,0.633253,-0.000603,0.000601,0.209374
SIM, 6.308996,1.996420,1.994714,0.639549,-0.000597,0.000592,0.210362
SIM, 6.339037,1.996395,1.994735,0.645874,-0.000600,0.000605,0.211345
SIM, 6.369078,1.996359,1.994771,0.652230,-0.000601,0.000604,0.212329
SIM, 6.399118,1.996328,1.994793,0.658615,-0.000595,0.000592,0.213312
SIM, 6.429159,1.996300,1.994808,0.665027,-0.000604,0.000602,0.214296
SIM, 6.459200,1.996264,1.994844,0.671472,-0.000604,0.000604,0.215279
SIM, 6.489241,1.996228,1.994871,0.677945,-0.000599,0.000593,0.216262
SIM, 6.519281,1.996204,1.994883,0.684447,-0.000598,0.000602,0.217241
SIM, 6.549322,1.996168,1.994919,0.690980,-0.000601,0.000607,0.218220
SIM, 6.579363,1.996132,1.994954,0.697541,-0.000597,0.000598,0.219199
SIM, 6.609404,1.996112,1.994963,0.704131,-0.000603,0.000597,0.220178
SIM, 6.639444,1.996076,1.994999,0.710751,-0.000608,0.000604,0.221157
SIM, 6.669485,1.996040,1.995034,0.717400,-0.000605,0.000598,0.222136
SIM, 6.699526,1.996004,1.995043,0.724079,-0.000600,0.000597,0.223111
SIM, 6.729567,1.995982,1.995079,0.730787,-0.000595,0.000606,0.224085
SIM, 6.759607,1.995950,1.995115,0.737524,-0.000604,0.000605,0.225060
SIM, 6.789648,1.995915,1.995148,0.744291,-0.000604,0.000595,0.226034
SIM, 6.819689,1.995879,1.995160,0.751086,-0.000601,0.000601,0.227009
SIM, 6.849730,1.995849,1.995196,0.757910,-0.000595,0.000607,0.227983
SIM, 6.879770,1.995826,1.995232,0.764765,-0.000603,0.000606,0.228954
SIM, 6.909811,1.995790,1.995267,0.771648,-0.000605,0.000598,0.229924
SIM, 6.939852,1.995754,1.995280,0.778560,-0.000602,0.000599,0.230894
SIM, 6.969893,1.995718,1.995316,0.785502,-0.000597,0.000607,0.231864
SIM, 6.999933,1.995702,1.995352,0.792472,-0.000601,0.000608,0.232834
